id	label	timeset	n-quads
0	Project		Project
1	REVEAL		Project
2	InVID		Project
3	European Comission		Funder
4	images		Datatype
5	video content		Datatype
6	near-duplicte detection		Approach
7	Media REVEALr		Output
8	indexing tool		Output
9	mining tool		Output
10	journalism		Topic
11	real-time process		Approach
12	platform		Output
13	verification plugin		Output
14	verification application		Output
15	dashboard		Output
16	broadcast		Topic
17	verification		Approach
18	content context aggregation		Approach
